,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE,lnprice
18,ALPHABET CITY,03  THREE FAMILY HOMES,1,377,66,C0, 243 EAST 7TH   STREET                     ,10009,3,0,3,2381,3084,1899,1, C0 ,3150000,2013-06-03,14.9629130108
21,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,375,62,C4, 715 EAST 5TH   STREET                     ,10009,20,0,20,2426,9345,1900,2, C4 ,3650000,2012-06-09,15.1102377256
22,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,376,30,C4, 274 EAST SEVENTH STREET                   ,10009,13,0,13,2726,13002,1910,2, C4 ,895250,2012-10-25,13.7048582879
25,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,391,55,C4, 309 EAST 8TH   STREET                     ,10009,17,0,17,2164,9071,1900,2, C4 ,3500000,2012-10-16,15.0682735265
26,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,397,33,C7, 14 AVENUE B                               ,10009,25,2,27,3574,18212,1925,2, C7 ,13185684,2013-01-31,16.3946422536
30,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,398,53,C7, 170 EAST 2ND STREET                       ,10009,36,3,39,4452,17664,1900,2, C7 ,3810602,2012-10-26,15.1532977399
31,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,400,56,C4, 203 EAST 4TH STREET                       ,10009,10,1,10,2404,6975,1900,2, C4 ,7333333,2013-09-04,15.8079406772
32,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,400,57,C4, 201 EAST 4TH STREET                       ,10009,9,1,9,2404,6875,1900,2, C4 ,7333333,2013-09-04,15.8079406772
33,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,400,58,C4, 199 EAST 4TH STREET                       ,10009,9,1,10,2404,7110,1900,2, C4 ,7333333,2013-09-04,15.8079406772
34,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,400,60,C4, 195 EAST FOURTH STREET                    ,10009,18,2,18,2404,8975,1913,2, C4 ,7000000,2013-09-04,15.761420707
36,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,404,4,C7, 500 EAST 11 STREET                        ,10009,25,2,27,3020,15162,1920,2, C7 ,12603963,2013-01-31,16.3495218463
37,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,404,43,C4, 325 EAST 10TH   STREET                    ,10009,18,0,18,2370,11000,1900,2, C4 ,8500000,2013-03-14,15.9555767215
39,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,405,10,C7, 504 EAST 12TH   STREET                    ,10009,28,2,30,3872,15428,1930,2, C7 ,8892981,2013-01-31,16.0007728719
40,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,405,12,C7, 508 EAST 12TH   STREET                    ,10009,28,2,30,3872,15428,1930,2, C7 ,9528194,2013-01-31,16.0697657509
41,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,406,14,C1, 516 EAST 13TH   STREET                    ,10009,10,0,10,2581,10010,1910,2, C1 ,4653771,2013-01-31,15.3531884166
42,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,406,15,C1, 518 EAST 13TH   STREET                    ,10009,10,0,10,2581,10010,1910,2, C1 ,4653771,2013-01-31,15.3531884166
45,ALPHABET CITY,08  RENTALS - ELEVATOR APARTMENTS,2,404,48,D1, 315 EAST 10TH   STREET                    ,10009,12,1,12,2369,9348,1920,2, D1 ,9600000,2013-07-05,16.0772736564
139,ALPHABET CITY,14  RENTALS - 4-10 UNIT,2A,387,133,S3, 650 EAST 6TH   STREET                     ,10009,3,1,4,1940,4140,1920,2, S3 ,2800000,2013-07-19,14.8451299751
141,ALPHABET CITY,14  RENTALS - 4-10 UNIT,2A,391,33,S4, 137 AVENUE C                              ,10009,4,1,5,1500,3540,1900,2, S4 ,2450000,2013-02-22,14.7115985825
142,ALPHABET CITY,14  RENTALS - 4-10 UNIT,2A,393,4,S4, 165 AVENUE B                              ,10009,4,1,5,2201,5608,1900,2, S4 ,3800000,2012-04-12,15.1505116247
153,ALPHABET CITY,22  STORE BUILDINGS,4,378,32,K1, 127 AVENUE D                              ,10009,0,1,1,2186,2186,1910,4, K1 ,1800000,2012-12-28,14.4032972229
155,ALPHABET CITY,22  STORE BUILDINGS,4,402,3,K2, 98 AVENUE A                               ,10009,0,1,1,8100,16200,1925,4, K2 ,15500000,2013-01-05,16.5563505819
158,ALPHABET CITY,29  COMMERCIAL GARAGES,4,384,33,G4, 11 AVENUE C                               ,10009,0,1,1,5893,1419,1961,4, G4 ,7000000,2012-06-09,15.761420707
162,ALPHABET CITY,37  RELIGIOUS FACILITIES,4,387,34,M1, 67 AVENUE C                               ,10009,0,1,1,2160,3050,1951,4, M1 ,2400000,2013-07-18,14.6909792953
163,ALPHABET CITY,37  RELIGIOUS FACILITIES,4,392,4,M1, 149 AVENUE B                              ,10009,2,1,3,2139,6440,1900,4, M1 ,4650000,2012-12-20,15.3523777776
165,ALPHABET CITY,37  RELIGIOUS FACILITIES,4,392,4,M1, 149 AVENUE B                              ,10009,2,1,3,2139,6440,1900,4, M1 ,3200000,2012-09-27,14.9786613678
184,CHELSEA,01  ONE FAMILY HOMES,1,738,61,A4, 338 WEST 15 STREET                        ,10011,1,0,1,1528,2736,1900,1, A4 ,5400000,2013-07-25,15.5019095115
186,CHELSEA,01  ONE FAMILY HOMES,1,743,27,A9, 323 WEST 19TH   STREET                    ,10011,1,0,1,1894,3564,1901,1, A9 ,7180000,2013-04-16,15.786809941
190,CHELSEA,01  ONE FAMILY HOMES,1,770,21,A9, 233 WEST 20TH                             ,10011,1,0,1,1064,1260,1901,1, A9 ,7935000,2013-06-27,15.8867939119
194,CHELSEA,01  ONE FAMILY HOMES,1,774,81,A4, 280 WEST 25TH   STREET                    ,10001,1,0,1,937,3307,1900,1, A4 ,4000000,2013-05-30,15.2018049191
195,CHELSEA,01  ONE FAMILY HOMES,1,790,64,A0, 150 WEST 15TH   STREET                    ,10011,1,0,1,2000,10597,1920,1, A0 ,15500000,2013-04-26,16.5563505819
198,CHELSEA,02  TWO FAMILY HOMES,1,743,17,B3, 343 WEST 19TH STREET                      ,10011,2,0,2,1397,4224,1900,1, B3 ,6990000,2013-04-25,15.7599911142
201,CHELSEA,03  THREE FAMILY HOMES,1,717,64,C0, 440 WEST 20TH STREET                      ,10011,3,0,3,1533,2880,1901,1, C0 ,4250000,2013-07-06,15.2624295409
202,CHELSEA,03  THREE FAMILY HOMES,1,745,8,C0, 353 WEST 21ST   STREET                    ,10011,3,0,3,2074,3486,1910,1, C0 ,5867000,2013-04-04,15.5848539879
209,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2A,717,52,C2, 416 WEST 20TH   STREET                    ,10011,5,0,5,2248,4730,1910,2, C2 ,5750000,2012-12-20,15.5647104128
210,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2B,719,45,C5, 402 WEST 22ND   STREET                    ,10011,7,1,8,1026,4788,1900,2, C5 ,3530000,2012-11-15,15.0768084289
211,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2A,719,75,C3, 460 WEST 22ND   STREET                    ,10011,4,0,4,1580,3376,1900,2, C3 ,4600000,2012-08-23,15.3415668615
212,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2A,720,5,C3, 485 WEST 22ND STREET                      ,10011,4,0,4,1547,4150,1900,2, C3 ,4650000,2012-12-28,15.3523777776
217,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2A,722,11,C2, 449 WEST 24TH   STREET                    ,10011,5,0,5,2057,4072,1900,2, C2 ,3900000,2012-04-12,15.1764871111
218,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2A,738,63,C2, 342 WEST 15TH STREET                      ,10011,6,0,6,1528,3950,1900,2, C2 ,6534977,2013-03-27,15.6926793855
219,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,740,52,C4, 338 WEST 17TH STREET                      ,10011,17,0,17,2300,8525,1900,2, C4 ,6000000,2012-11-27,15.6072700272
220,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,741,61,C1, 352 WEST 18TH   STREET                    ,10011,16,0,16,2300,8825,1910,2, C1 ,9000000,2012-09-08,16.0127351353
222,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2B,743,15,C1, 347 WEST 19TH   STREET                    ,10011,8,0,8,1397,2430,1920,2, C1 ,1600000,2012-12-19,14.2855141872
223,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2B,743,16,C1, 345 WEST 19TH   STREET                    ,10011,8,0,8,1397,2737,1910,2, C1 ,3000000,2012-12-19,14.9141228466
227,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,744,40,C4, 205 8 AVENUE                              ,10011,10,1,11,2500,10800,1900,2, C4 ,15900000,2013-01-05,16.5818296672
230,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,753,30,C5, 311 WEST 29TH   STREET                    ,10001,19,0,19,2197,6555,1900,2, C5 ,4250000,2012-09-27,15.2624295409
232,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2B,764,21,C5, 233 WEST 14TH STREET                      ,10011,6,2,8,3000,8455,1920,2, C5 ,6800000,2012-10-17,15.7324331701
234,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2B,770,44,C1, 204 WEST 21ST   STREET                    ,10011,8,0,8,1478,2984,1910,2, C1 ,2700000,2013-09-05,14.808762331
235,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,771,14,C1, 247 WEST 21ST   STREET                    ,10011,59,0,59,9875,41100,1920,2, C1 ,21200000,2012-12-18,16.8695117396
236,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2,774,55,C4, 226 WEST 25TH   STREET                    ,10001,20,0,20,2938,11055,1925,2, C4 ,10500000,2012-12-21,16.1668858151
238,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2B,775,8,C4, 261 WEST 25TH   STREET                    ,10001,10,0,10,2469,5285,1901,2, C4 ,11000000,2012-12-20,16.2134058308
239,CHELSEA,07  RENTALS - WALKUP APARTMENTS,2A,790,65,C2, 152 WEST 15TH   STREET                    ,10011,5,0,5,2000,6568,1910,2, C2 ,6750000,2012-04-12,15.7250530628
240,CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,699,9,D8, 537 WEST 27TH   STREET                    ,10001,28,3,31,7281,34345,2011,2, D8 ,27500000,2012-12-20,17.1296965626
241,CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,764,12,D6, 245 WEST 14TH   STREET                    ,10011,21,1,22,5132,38162,2009,2, D6 ,14500000,2012-10-18,16.4896592074
242,CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,775,9,D1, 245 WEST 25TH   STREET                    ,10001,68,0,68,14815,36500,1938,2, D1 ,37000000,2012-12-20,17.4264284706
245,CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,800,20,D6, 135 WEST 24TH   STREET                    ,10011,23,1,24,2925,12609,1901,2, D6 ,1911390,2012-05-10,14.463341284
246,CHELSEA,08  RENTALS - ELEVATOR APARTMENTS,2,801,49,D5, 110 WEST 26TH   STREET                    ,10001,11,2,13,4090,26027,1907,2, D5 ,2176160,2012-12-21,14.5930724137
992,CHELSEA,14  RENTALS - 4-10 UNIT,2B,794,12,S5, 153 WEST 18TH   STREET                    ,10011,6,1,7,1553,3800,1877,2, S5 ,10405882,2012-11-28,16.1578817812
993,CHELSEA,14  RENTALS - 4-10 UNIT,2A,803,33,S9, 103 WEST 27TH   STREET                    ,10001,3,2,5,1668,4796,1920,2, S9 ,3500000,2013-03-27,15.0682735265
1101,CHELSEA,21  OFFICE BUILDINGS,4,767,12,O9, 249 WEST 17TH   STREET                    ,10011,0,1,1,17790,108768,1902,4, O9 ,75750000,2012-05-11,18.1429490024
1103,CHELSEA,21  OFFICE BUILDINGS,4,795,44,O3, 641 AVENUE OF THE AMER                    ,10011,0,7,7,18491,149885,1902,4, O3 ,90000000,2012-09-28,18.3153202283
1105,CHELSEA,21  OFFICE BUILDINGS,4,802,75,O2, 158 WEST 27TH   STREET                    ,10001,0,14,14,8305,108000,1913,4, O2 ,56172914,2012-12-20,17.8439452414
1107,CHELSEA,22  STORE BUILDINGS,4,693,8,K1, 547 WEST 21ST   STREET                    ,10011,0,1,1,4938,6287,1960,4, K1 ,8242000,2012-11-28,15.9247535909
1108,CHELSEA,22  STORE BUILDINGS,4,694,1,K9, 162 11TH AVENUE                           ,10011,0,2,2,1851,7408,1930,4, K9 ,5900000,2012-12-31,15.5904629089
1113,CHELSEA,22  STORE BUILDINGS,4,699,49,K9, 526 WEST 28TH   STREET                    ,10001,0,1,1,19250,35000,1900,4, K9 ,30000000,2013-12-07,17.2167079396
1114,CHELSEA,22  STORE BUILDINGS,4,699,49,K9, 526 WEST 28TH   STREET                    ,10001,0,1,1,19250,35000,1900,4, K9 ,15000000,2013-12-07,16.5235607591
1115,CHELSEA,22  STORE BUILDINGS,4,700,47,K2, 522 WEST 29TH STREET                      ,10001,0,4,4,2469,17244,1932,4, K2 ,5300000,2013-01-04,15.4832173785
1116,CHELSEA,22  STORE BUILDINGS,4,700,48,K1, 524 WEST 29TH   STREET                    ,10001,0,1,1,2469,2469,1930,4, K1 ,3450000,2012-11-14,15.053884789
1117,CHELSEA,22  STORE BUILDINGS,4,700,48,K1, 524 WEST 29TH   STREET                    ,10001,0,1,1,2469,2469,1930,4, K1 ,24688000,2012-11-14,17.0218278536
1120,CHELSEA,22  STORE BUILDINGS,4,700,59,K2, 546 WEST 29TH STREET                      ,10001,0,1,1,2468,2900,1930,4, K2 ,3585000,2012-09-25,15.092269032
1123,CHELSEA,22  STORE BUILDINGS,4,738,79,K9, 58 9 AVENUE                               ,10011,2,1,3,1692,3842,1920,4, K9 ,18200000,2013-08-04,16.716932152
1127,CHELSEA,22  STORE BUILDINGS,4,773,43,K9, 230 7 AVENUE                              ,10011,0,4,4,1573,5720,1920,4, K9 ,4250000,2012-10-25,15.2624295409
1128,CHELSEA,22  STORE BUILDINGS,4,799,41,K4, 727 AVENUE OF THE AMER                    ,10010,2,2,4,1636,5976,1894,4, K4 ,8150000,2013-12-07,15.9135284852
1132,CHELSEA,23  LOFT BUILDINGS,4,693,1,L9, 144 11TH   AVENUE                         ,10011,0,2,2,12450,38803,1900,4, L9 ,32000000,2012-10-15,17.2812464608
1134,CHELSEA,23  LOFT BUILDINGS,4,712,1,L9, 450 WEST 15TH STREET                      ,10011,0,5,5,51625,281361,1936,4, L9 ,284429879,2012-12-21,19.4659973101
1135,CHELSEA,23  LOFT BUILDINGS,4,767,54,L8, 218 WEST 18TH   STREET                    ,10011,0,77,77,10775,167210,1912,4, L8 ,112000000,2013-03-27,18.5340094293
1136,CHELSEA,23  LOFT BUILDINGS,4,775,60,L1, 236 WEST 26TH STREET                      ,10001,0,43,43,8359,86280,1925,4, L1 ,400000,2013-03-29,12.8992198261
1137,CHELSEA,23  LOFT BUILDINGS,4,793,29,L8, 111 WEST 17TH STREET                      ,10011,1,4,5,1840,8900,1920,4, L8 ,7250000,2012-10-16,15.7965120268
1140,CHELSEA,23  LOFT BUILDINGS,4,797,29,L9, 117 WEST 21ST   STREET                    ,10011,1,1,2,4337,18591,1900,4, L9 ,12000000,2013-05-15,16.3004172078
1141,CHELSEA,23  LOFT BUILDINGS,4,798,59,L8, 128 WEST 23RD   STREET                    ,10011,3,1,4,2468,7080,1920,4, L8 ,4500000,2013-06-14,15.3195879547
1144,CHELSEA,23  LOFT BUILDINGS,4,803,11,L8, 149 WEST 27TH STREET                      ,10001,0,1,1,2757,10380,1910,4, L8 ,6000000,2013-04-15,15.6072700272
1145,CHELSEA,23  LOFT BUILDINGS,4,803,18,L1, 129 WEST 27TH STREET                      ,10001,0,10,10,7406,84745,1910,4, L1 ,1873007,2012-12-27,14.4430557187
1146,CHELSEA,23  LOFT BUILDINGS,4,803,18,L1, 129 WEST 27TH STREET                      ,10001,0,10,10,7406,84745,1910,4, L1 ,1846993,2012-12-27,14.4290694692
1149,CHELSEA,26  OTHER HOTELS,4,802,26,H3, 121 WEST 26TH   STREET                    ,10001,0,1,1,6476,64764,2006,4, H3 ,111421000,2013-06-06,18.5288263776
1171,CHELSEA,29  COMMERCIAL GARAGES,4,696,32,G5, 239 10TH   AVENUE                         ,10001,0,1,1,5520,1904,1950,4, G5 ,23500000,2013-07-31,16.9725109791
1173,CHELSEA,29  COMMERCIAL GARAGES,4,800,49,G1, 112-118 WEST 25TH   STREET                ,10001,0,1,1,16745,46857,1928,4, G1 ,67500000,2013-07-08,18.0276381558
1177,CHELSEA,30  WAREHOUSES,4,712,38,E9, 404 WEST 15TH STREET                      ,10011,0,1,1,4450,5698,1950,4, E9 ,242000,2013-04-16,12.3966930051
1179,CHELSEA,30  WAREHOUSES,4,794,11,E9, 155 WEST 18TH   STREET                    ,10011,6,6,12,10053,32380,1930,4, E9 ,16622383,2012-11-28,16.6262607186
1188,CHELSEA,33  EDUCATIONAL FACILITIES,4,795,37,W4, 635 AVENUE OF THE AMER                    ,10011,0,2,2,9656,94614,1901,4, W4 ,45000000,2012-09-28,17.6221730477
1209,CHINATOWN,02  TWO FAMILY HOMES,1,281,38,S2, 53-55 DIVISION STREET                     ,10002,2,1,3,1708,3619,1920,1, S2 ,2800000,2013-06-27,14.8451299751
1213,CHINATOWN,07  RENTALS - WALKUP APARTMENTS,2,237,11,C7, 146 MULBERRY STREET                       ,10013,15,1,16,3572,19858,1900,2, C7 ,6900000,2013-07-08,15.7470319696
1214,CHINATOWN,07  RENTALS - WALKUP APARTMENTS,2,275,1,C7, 125 MADISON STREET                        ,10002,15,1,16,1779,6810,1900,2, C7 ,2265000,2012-12-18,14.6330853169
1216,CHINATOWN,07  RENTALS - WALKUP APARTMENTS,2,277,18,C7, 109 MADISON STREET                        ,10002,20,2,22,2514,9480,1900,2, C7 ,4500000,2012-03-08,15.3195879547
1217,CHINATOWN,07  RENTALS - WALKUP APARTMENTS,2,280,11,C4, 43 HENRY STREET                           ,10002,18,0,18,2500,9440,1900,2, C4 ,1950000,2012-12-31,14.4833399305
1218,CHINATOWN,07  RENTALS - WALKUP APARTMENTS,2,303,10,C7, 83 BOWERY                                 ,10002,12,3,15,2923,12665,1910,2, C7 ,9326496,2013-03-06,16.0483699396
1220,CHINATOWN,07  RENTALS - WALKUP APARTMENTS,2,306,1,C7, 119 HESTER STREET                         ,10002,25,4,29,3392,17025,1910,2, C7 ,7400000,2012-08-30,15.8169905582
1278,CHINATOWN,14  RENTALS - 4-10 UNIT,2B,206,17,S5, 125 MULBERRY STREET                       ,10013,6,1,7,2150,7434,1910,2, S5 ,9750000,2012-12-30,16.092777843
1287,CHINATOWN,21  OFFICE BUILDINGS,4,162,53,O9, 18 BOWERY                                 ,10013,2,5,7,2500,8142,1905,4, O9 ,5380000,2012-12-28,15.4981989321
1288,CHINATOWN,21  OFFICE BUILDINGS,4,171,1,O3, 350 BROADWAY                              ,10013,0,68,68,10697,141311,1920,4, O3 ,53183682,2012-12-26,17.7892621779
1289,CHINATOWN,21  OFFICE BUILDINGS,4,200,12,O9, 202-204 CANAL STREET                      ,10013,0,9,9,5055,50089,1991,4, O9 ,41250000,2013-07-31,17.5351616707
1290,CHINATOWN,21  OFFICE BUILDINGS,4,201,13,O9, 178 CANAL STREET                          ,10013,0,1,1,3540,12173,1958,4, O9 ,40750000,2012-03-12,17.5229663977
1291,CHINATOWN,21  OFFICE BUILDINGS,4,303,7,O9, 77 BOWERY                                 ,10002,0,8,8,4488,31000,1940,4, O9 ,20000000,2012-12-21,16.8112428315
1292,CHINATOWN,22  STORE BUILDINGS,4,171,7,K9, 360 BROADWAY                              ,10013,5,4,9,6443,31500,1900,4, K9 ,3406300,2013-05-22,15.0411372162
1295,CHINATOWN,22  STORE BUILDINGS,4,279,63,K9, 5 EAST BROADWAY                           ,10038,0,4,4,1925,6491,1910,4, K9 ,2083333,2013-02-25,14.549479573
1297,CHINATOWN,22  STORE BUILDINGS,4,304,5,K9, 103 BOWERY                                ,10002,4,1,5,2626,9814,1915,4, K9 ,4131745,2013-03-06,15.2342103939
1298,CHINATOWN,22  STORE BUILDINGS,4,304,6,K9, 105 BOWERY                                ,10002,4,1,5,2615,10060,1900,4, K9 ,3816973,2013-03-06,15.1549682581
1301,CHINATOWN,26  OTHER HOTELS,4,203,17,H9, 88 BOWERY                                 ,10013,0,8,8,5017,31000,1910,4, H9 ,14837607,2013-03-06,16.5126755293
1372,CIVIC CENTER,07  RENTALS - WALKUP APARTMENTS,2B,150,17,C7, 118 DUANE STREET                          ,10007,7,3,10,5833,27853,1915,2, C7 ,11000000,2013-04-06,16.2134058308
1384,CIVIC CENTER,08  RENTALS - ELEVATOR APARTMENTS,2A,146,14,D2, 148 DUANE STREET                          ,10013,4,2,6,3909,17000,1930,2, D2 ,5663000,2012-12-14,15.5494643451
1385,CIVIC CENTER,08  RENTALS - ELEVATOR APARTMENTS,2A,146,14,D2, 148 DUANE STREET                          ,10013,4,2,6,3909,17000,1930,2, D2 ,5662000,2012-12-14,15.5492877447
1386,CIVIC CENTER,08  RENTALS - ELEVATOR APARTMENTS,2,173,17,D7, 74 LEONARD STREET                         ,10013,18,1,19,3828,23000,1920,2, D7 ,13650000,2012-09-10,16.4292500796
1550,CIVIC CENTER,14  RENTALS - 4-10 UNIT,2A,177,6,S9, 55 LEONARD STREET                         ,10013,4,2,6,2442,10800,1915,2, S9 ,4200000,2012-09-28,15.2505950833
1590,CIVIC CENTER,22  STORE BUILDINGS,4,178,21,K9, 1 WHITE STREET                            ,10013,1,2,3,705,2820,1915,4, K9 ,4200000,2013-06-18,15.2505950833
1592,CIVIC CENTER,23  LOFT BUILDINGS,4,174,11,L9, 69 LEONARD STREET                         ,10013,5,2,7,2885,14425,1910,4, L9 ,2669333,2012-12-21,14.7973391864
1593,CIVIC CENTER,23  LOFT BUILDINGS,4,174,19,L9, 91 FRANKLIN STREET                        ,10013,3,2,5,2342,10298,1920,4, L9 ,1200000,2012-08-21,13.9978321148
1615,CLINTON,02  TWO FAMILY HOMES,1,1060,154,S2, 448 WEST 51ST   STREET                    ,10019,2,1,3,1883,5492,1910,1, S2 ,2950000,2012-08-27,14.8973157283
1616,CLINTON,03  THREE FAMILY HOMES,1,1054,12,C0, 441 WEST 44TH   STREET                    ,10036,3,0,3,2008,3680,1899,1, C0 ,4165000,2013-05-21,15.2422268336
1619,CLINTON,03  THREE FAMILY HOMES,1,1056,39,C0, 412 WEST 47TH   STREET                    ,10036,3,0,3,2000,5000,1901,1, C0 ,2650000,2012-12-18,14.790070198
1620,CLINTON,03  THREE FAMILY HOMES,1,1060,54,C0, 446 WEST 51ST   STREET                    ,10019,3,0,3,1883,3600,1901,1, C0 ,3000000,2012-12-18,14.9141228466
1622,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1053,6,C4, 459 WEST 43RD STREET                      ,10036,13,0,13,2510,6640,1910,2, C4 ,3550000,2012-12-14,15.0824581615
1624,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1055,29,C7, 643 9 AVENUE                              ,10036,19,2,21,3200,15200,1910,2, C7 ,17000000,2013-05-28,16.648723902
1626,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1056,60,C4, 456 WEST 47TH   STREET                    ,10036,15,0,15,2750,11455,1925,2, C4 ,5243000,2013-06-20,15.4724044116
1627,CLINTON,07  RENTALS - WALKUP APARTMENTS,2A,1056,130,C2, 405 WEST 46TH   STREET                    ,10036,6,0,6,1411,2744,1920,2, C2 ,2300000,2012-05-11,14.6484196809
1629,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1058,41,C4, 416 WEST 49TH   STREET                    ,10019,15,0,15,2521,9875,1901,2, C4 ,2600000,2013-03-21,14.771022003
1632,CLINTON,07  RENTALS - WALKUP APARTMENTS,2B,1059,29,C7, 721 9 AVENUE                              ,10019,8,1,9,3160,10200,1910,2, C7 ,600000,2012-08-22,13.3046849342
1633,CLINTON,07  RENTALS - WALKUP APARTMENTS,2A,1059,104,C2, 463 WEST 49TH   STREET                    ,10019,6,0,6,1446,3984,1910,2, C2 ,3228000,2013-03-22,14.9873733084
1634,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1060,32,C7, 747 9 AVENUE                              ,10019,12,1,13,2500,9900,1901,2, C7 ,5375000,2013-11-06,15.497269132
1636,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1060,44,C7, 420-424 WEST 51ST   STREET                ,10019,12,1,13,5021,13069,1910,2, C7 ,5325000,2012-10-22,15.4879232696
1638,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1061,50,C4, 434 WEST 52ND STREET                      ,10019,14,0,14,2510,9280,1901,2, C4 ,4300000,2012-12-19,15.2741255807
1639,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1061,51,C1, 436 WEST 52ND   STREET                    ,10019,14,0,14,2510,9280,1910,2, C1 ,8000000,2012-12-17,15.8949520996
1643,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1063,12,C7, 437 WEST 53RD   STREET                    ,10019,11,1,12,2510,8641,1910,2, C7 ,3950000,2013-03-19,15.1892261369
1644,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1064,4,C7, 818 10TH AVENUE                           ,10019,16,2,18,3333,12330,1910,2, C7 ,8400000,2013-06-08,15.9437422638
1645,CLINTON,07  RENTALS - WALKUP APARTMENTS,2B,1064,9,C7, 443 WEST 54TH   STREET                    ,10019,7,1,8,2750,7457,1920,2, C7 ,4000000,2012-11-26,15.2018049191
1648,CLINTON,07  RENTALS - WALKUP APARTMENTS,2,1078,14,C4, 533 WEST 49TH   STREET                    ,10019,20,0,20,2510,9690,1901,2, C4 ,3875000,2013-10-05,15.1700562208
1649,CLINTON,07  RENTALS - WALKUP APARTMENTS,2B,1086,30,C7, 877 10TH   AVENUE                         ,10019,8,2,10,1875,7500,1910,2, C7 ,4800000,2012-11-20,15.3841264759
1650,CLINTON,08  RENTALS - ELEVATOR APARTMENTS,2,1058,47,D3, 428 WEST 49TH STREET                      ,10019,12,0,12,2510,10468,2003,2, D3 ,7500000,2013-06-13,15.8304135785
1651,CLINTON,08  RENTALS - ELEVATOR APARTMENTS,2B,1058,62,D6, 698 10TH   AVENUE                         ,10019,9,1,10,2193,9385,1910,2, D6 ,5500000,2013-06-13,15.5202586502
2044,CLINTON,14  RENTALS - 4-10 UNIT,2A,1055,130,S4, 647 9 AVENUE                              ,10036,4,1,5,1613,6694,1910,2, S4 ,8500000,2013-05-28,15.9555767215
2045,CLINTON,14  RENTALS - 4-10 UNIT,2A,1059,34,S9, 733 NINTH AVENUE                          ,10019,3,2,5,2100,7740,1910,2, S9 ,6275000,2012-12-27,15.652084043
2046,CLINTON,14  RENTALS - 4-10 UNIT,2A,1059,162,S4, 458 WEST 50TH   STREET                    ,10019,4,1,5,1205,3780,1910,2, S4 ,2980000,2012-12-20,14.9074338585
2072,CLINTON,21  OFFICE BUILDINGS,4,1094,21,O9, 617 WEST 46TH   STREET                    ,10036,0,2,2,5000,10000,1940,4, O9 ,5450000,2012-08-23,15.5111261666
2073,CLINTON,21  OFFICE BUILDINGS,4,1102,18,O9, 619 WEST 54TH   STREET                    ,10019,0,12,12,30125,277600,1930,4, O9 ,112000000,2012-10-18,18.5340094293
